ID,Severity,Start_Lat,Start_Lng,Distance_mi,City,State,Temperature_F,Humidity_Percent,Visibility_mi,Wind_Speed_mph,Weather_Condition,Amenity,Crossing,Junction,Traffic_Signal,Sunrise_Sunset,Hour,DayOfWeek,Month
A-17,2,39.748329,-84.224007,0.01,Dayton,OH,35.6,99.0,7.0,2.3,Mostly Cloudy,0,0,0,0,Day,8,2,2
A-80,2,39.077332,-84.225014,0.0,Batavia,OH,15.8,84.0,4.0,11.5,Light Snow,0,0,0,0,Day,8,4,2
A-91,2,38.99408,-84.142021,0.01,Bethel,OH,15.4,70.0,10.0,6.9,Overcast,0,0,0,0,Night,6,5,2
A-106,2,39.75452,-84.159279,0.01,Dayton,OH,13.6,74.0,10.0,3.5,Overcast,0,0,0,0,Day,9,5,2
A-110,2,39.64185,-84.227455,0.0,Dayton,OH,18.0,54.0,10.0,6.9,Clear,0,0,0,0,Day,10,5,2
A-123,2,39.749786,-84.199493,0.0,Dayton,OH,26.6,59.0,10.0,16.1,Light Snow,0,1,0,1,Day,16,6,2
A-129,3,39.934517,-82.86065699999997,0.01,Columbus,OH,16.0,68.0,10.0,13.8,Mostly Cloudy,0,0,0,0,Night,23,6,2
A-186,2,40.757088,-82.50975,0.01,Mansfield,OH,30.0,100.0,5.0,10.4,Overcast,0,0,0,0,Day,7,3,2
A-202,3,40.09917100000001,-83.134499,0.01,Dublin,OH,32.0,92.0,2.5,11.5,Overcast,0,0,0,0,Day,11,3,2
A-230,2,41.172302,-83.64917,0.01,North Baltimore,OH,33.1,82.0,3.0,12.7,Haze,0,0,0,0,Day,10,4,2
A-237,3,39.933803999999995,-82.78944399999997,0.01,Pickerington,OH,28.0,78.0,9.0,5.8,Overcast,0,0,0,0,Night,7,5,2
A-256,2,41.423275,-81.76001,0.01,Cleveland,OH,16.0,81.0,10.0,6.9,Clear,0,0,0,1,Day,9,5,2
A-275,3,39.976397999999996,-83.119225,0.01,Columbus,OH,34.9,70.0,10.0,10.4,Clear,0,0,0,0,Night,5,6,2
A-304,2,39.985336,-82.78984100000002,0.01,Reynoldsburg,OH,30.9,82.0,10.0,3.5,Partly Cloudy,0,0,0,0,Night,6,2,2
A-314,3,40.061661,-82.99807,0.01,Columbus,OH,28.9,96.0,10.0,3.5,Clear,0,0,0,0,Day,8,2,2
A-320,2,39.76144,-84.167038,0.0,Dayton,OH,37.0,77.0,10.0,5.8,Clear,0,0,0,0,Day,9,2,2
A-333,2,39.571163,-84.202606,0.0,Springboro,OH,30.0,69.0,10.0,10.4,Clear,0,1,0,1,Night,7,3,2
A-334,2,39.17505300000001,-84.236313,0.01,Milford,OH,31.8,79.0,10.0,3.5,Clear,0,0,0,1,Night,7,3,2
A-348,3,39.972336,-82.983917,0.01,Columbus,OH,53.1,52.0,10.0,8.1,Overcast,0,0,0,0,Day,17,3,2
A-387,2,38.892097,-84.208702,0.0,Moscow,OH,33.8,90.0,10.0,15.0,Overcast,0,0,0,0,Night,6,5,2
A-396,2,39.812687,-84.22734799999998,0.01,Dayton,OH,33.1,89.0,5.0,20.7,Light Snow,0,1,0,1,Day,16,5,2
A-496,2,40.089439,-83.036194,0.01,Columbus,OH,32.0,88.0,6.0,9.2,Overcast,0,0,0,0,Day,8,6,3
A-506,3,41.137856,-83.65884399999999,0.01,Findlay,OH,30.9,85.0,5.0,8.1,Overcast,0,0,0,0,Day,7,7,3
A-566,2,39.805809,-84.222435,0.01,Dayton,OH,66.9,59.0,9.0,16.1,Light Rain,0,1,0,1,Day,15,4,3
A-586,3,39.696461,-83.456673,0.01,Bloomingburg,OH,60.1,90.0,1.8,13.8,Rain,0,0,0,0,Day,11,5,3
A-596,3,39.788647,-84.18390699999998,0.01,Dayton,OH,57.6,100.0,2.5,11.5,Rain,0,0,0,0,Day,18,5,3
A-615,2,39.790283,-84.190063,0.01,Dayton,OH,46.0,86.0,9.0,10.4,Overcast,0,1,0,0,Day,10,6,3
A-645,3,41.404495000000004,-82.116928,0.01,Elyria,OH,57.9,90.0,6.0,11.5,Mostly Cloudy,0,0,0,0,Day,9,2,3
A-648,2,39.769259999999996,-84.236465,0.01,Dayton,OH,57.0,100.0,2.0,9.2,Overcast,0,0,0,0,Day,9,2,3
A-668,2,39.794266,-84.215851,0.0,Dayton,OH,66.9,59.0,10.0,8.1,Scattered Clouds,0,0,0,1,Day,14,3,3
A-680,2,39.870964,-82.855354,0.01,Groveport,OH,61.2,71.0,10.0,11.5,Overcast,0,0,0,0,Night,7,4,3
A-684,2,39.9767,-83.045517,0.01,Columbus,OH,59.0,64.0,10.0,17.3,Overcast,0,0,0,0,Day,8,4,3
A-688,3,41.42202800000001,-81.877464,0.01,North Olmsted,OH,59.0,46.0,10.0,31.1,Scattered Clouds,0,0,0,0,Day,12,4,3
A-703,2,39.749626,-84.178291,0.0,Dayton,OH,55.0,40.0,10.0,13.8,Clear,0,0,0,0,Day,11,5,3
A-705,2,39.820084,-84.16755699999999,0.01,Dayton,OH,54.0,43.0,10.0,16.1,Partly Cloudy,0,0,0,1,Day,11,5,3
A-710,3,39.982506,-82.98451999999997,0.01,Columbus,OH,52.0,34.0,10.0,11.5,Scattered Clouds,0,0,0,0,Night,20,5,3
A-713,2,39.59872100000001,-84.161491,0.01,Dayton,OH,37.0,70.0,10.0,3.5,Clear,0,0,0,0,Night,7,6,3
A-719,2,39.772064,-84.253517,0.01,Dayton,OH,55.0,30.0,10.0,17.3,Scattered Clouds,0,1,0,1,Day,13,6,3
A-724,2,39.745384,-84.183006,0.01,Dayton,OH,55.8,25.0,10.0,15.0,Mostly Cloudy,0,0,0,1,Day,16,6,3
A-738,3,37.700951,-121.80175,0.0,Livermore,CA,82.9,24.0,10.0,5.8,Clear,0,0,0,0,Day,10,3,6
A-751,2,37.131519,-121.63330800000001,0.0,Morgan Hill,CA,86.0,20.0,10.0,12.7,Clear,0,0,0,0,Day,11,3,6
A-775,3,38.551689,-121.69951599999999,0.0,Davis,CA,93.2,20.0,10.0,3.5,Clear,0,0,1,0,Day,13,3,6
A-797,2,38.744423,-121.24709299999999,0.0,Roseville,CA,95.0,12.0,10.0,8.1,Clear,0,1,0,1,Day,15,3,6
A-827,2,39.098984,-122.80431399999999,0.0,Nice,CA,64.0,54.0,10.0,6.9,Clear,0,0,0,0,Night,0,4,6
A-886,3,37.89658,-122.071281,0.0,Walnut Creek,CA,81.0,30.0,10.0,15.0,Clear,0,1,0,1,Day,12,4,6
A-905,3,38.631653,-121.397972,0.0,Sacramento,CA,89.6,22.0,9.0,6.9,Clear,0,0,0,0,Day,14,4,6
A-955,2,38.236176,-122.461472,0.0,Sonoma,CA,53.6,88.0,7.0,6.9,Mostly Cloudy,0,0,0,0,Night,22,4,6
A-963,3,37.38965200000001,-122.163582,0.0,Los Altos,CA,55.9,84.0,10.0,3.5,Clear,0,0,1,0,Night,1,5,6
A-1010,2,37.734898,-122.40866100000001,0.0,San Francisco,CA,64.0,58.0,10.0,16.1,Partly Cloudy,0,0,0,0,Day,10,5,6
A-1016,3,37.932659,-122.325897,0.0,Richmond,CA,82.0,22.0,10.0,12.7,Clear,0,0,0,0,Day,11,5,6
A-1024,3,37.783794,-122.178375,0.0,Oakland,CA,68.0,50.0,10.0,9.2,Clear,0,0,0,0,Day,12,5,6
A-1033,2,37.480171,-122.40691399999999,0.0,Half Moon Bay,CA,60.8,77.0,7.0,15.0,Clear,0,0,0,0,Day,12,5,6
A-1038,3,37.701363,-121.84953300000001,0.0,Pleasanton,CA,82.9,26.0,10.0,10.4,Clear,0,0,0,0,Day,13,5,6
A-1060,2,38.553349,-121.43661499999999,0.0,Sacramento,CA,90.0,23.0,10.0,10.4,Clear,0,0,0,0,Day,15,5,6
A-1097,3,37.546719,-122.02275800000001,0.0,Fremont,CA,62.6,82.0,10.0,9.2,Scattered Clouds,0,0,0,0,Day,9,6,6
A-1101,3,38.38042100000001,-121.47766899999999,0.0,Elk Grove,CA,72.0,49.0,10.0,3.5,Clear,0,0,0,0,Day,9,6,6
A-1102,3,38.639168,-121.38418600000001,0.0,Sacramento,CA,80.6,32.0,9.0,10.4,Clear,0,0,0,0,Day,9,6,6
A-1104,3,37.825396999999995,-122.304802,0.0,Oakland,CA,61.0,70.0,10.0,5.8,Scattered Clouds,0,0,1,0,Day,10,6,6
A-1113,2,38.55962,-121.26669299999999,0.0,Mather,CA,73.4,47.0,10.0,6.9,Clear,0,0,0,0,Day,10,6,6
A-1123,2,37.841545,-122.224525,0.0,Oakland,CA,66.9,59.0,10.0,9.2,Clear,0,0,0,0,Day,12,6,6
A-1152,2,36.979209999999995,-121.979698,0.0,Santa Cruz,CA,72.0,49.0,10.0,8.1,Clear,0,1,0,0,Day,14,6,6
A-1162,3,37.99185900000001,-122.30792199999999,0.0,San Pablo,CA,89.1,23.0,10.0,9.2,Clear,0,0,0,0,Day,17,6,6
A-1164,3,38.577106,-121.50781200000002,0.0,Sacramento,CA,91.9,10.0,10.0,9.2,Clear,0,0,0,0,Day,17,6,6
A-1183,3,38.69938300000001,-121.31804699999999,0.0,Citrus Heights,CA,80.6,32.0,10.0,4.6,Clear,0,0,0,0,Night,20,6,6
A-1197,3,37.825649,-122.304092,0.0,Oakland,CA,62.1,67.0,10.0,9.2,Clear,0,0,0,0,Night,22,6,6
A-1199,2,37.685875,-121.65972099999999,0.0,Livermore,CA,71.1,39.0,10.0,6.9,Clear,0,0,0,0,Night,22,6,6
A-1200,2,39.209129,-121.068649,0.0,Grass Valley,CA,69.8,38.0,10.0,6.9,Clear,0,0,0,0,Night,22,6,6
A-1209,3,38.022526,-122.262299,0.0,Hercules,CA,66.0,59.0,10.0,6.9,Clear,0,0,0,0,Night,1,7,6
A-1250,3,37.778683,-122.400322,0.0,San Francisco,CA,78.1,40.0,10.0,15.0,Partly Cloudy,0,0,0,0,Day,13,7,6
A-1271,2,38.643349,-121.114876,0.0,Folsom,CA,100.4,9.0,10.0,11.5,Clear,0,0,0,0,Day,17,7,6
A-1283,2,37.409039,-122.194809,0.0,Portola Valley,CA,66.2,49.0,10.0,5.8,Partly Cloudy,0,0,0,0,Day,20,7,6
A-1292,3,37.702498999999996,-122.01693,0.0,Castro Valley,CA,61.0,70.0,10.0,6.9,Clear,0,0,0,0,Night,1,1,6
A-1315,3,38.05258900000001,-122.227448,0.0,Crockett,CA,66.0,63.0,9.0,6.9,Clear,0,0,0,0,Day,8,1,6
A-1337,2,38.019871,-121.93692800000001,0.0,Pittsburg,CA,98.1,14.0,10.0,9.2,Clear,0,0,0,0,Day,15,1,6
A-1345,2,37.238255,-121.969025,0.0,Los Gatos,CA,86.0,33.0,10.0,15.0,Scattered Clouds,0,0,0,0,Day,16,1,6
A-1348,3,37.8997,-122.316704,0.0,Richmond,CA,98.1,12.0,10.0,9.2,Clear,0,1,0,1,Day,16,1,6
