ID,Severity,Start_Lat,Start_Lng,State,cluster
A-125,3,40.109928000000004,-82.97820300000002,OH,6
A-159,2,39.763363,-84.15535,OH,6
A-268,3,39.960938,-84.189583,OH,6
A-693,2,39.596882,-84.117653,OH,6
A-1316,2,37.495583,-122.368835,CA,0
A-1523,3,38.540779,-121.51091799999999,CA,0
A-1592,3,38.671065999999996,-121.590378,CA,0
A-1808,2,38.663918,-121.225723,CA,0
A-2039,2,38.094234,-121.25981100000001,CA,0
A-2143,2,38.354931,-122.71303600000002,CA,0
A-2172,2,36.605492,-121.557144,CA,0
A-2674,3,37.785709000000004,-122.244514,CA,0
A-2762,2,37.744259,-122.38729099999999,CA,0
A-2877,2,38.659622,-120.96898700000001,CA,0
A-3887,3,38.575802,-121.52118700000001,CA,0
A-4151,2,38.418839,-120.559151,CA,0
A-4157,2,38.474407,-121.419067,CA,0
A-4546,3,37.322414,-121.94072,CA,0
A-5128,3,37.333649,-121.937294,CA,0
A-5385,2,39.216358,-121.06540700000001,CA,0
A-6573,2,38.185455,-120.82563799999998,CA,0
A-6645,3,37.401531,-121.908859,CA,0
A-6914,3,38.641265999999995,-121.424889,CA,0
A-6932,2,37.993484,-122.31540700000001,CA,0
A-8317,3,37.334236,-122.068367,CA,0
A-9311,3,37.732243,-122.432076,CA,0
A-9623,3,38.295338,-122.03418,CA,0
A-9752,3,37.811779,-121.29581499999999,CA,0
A-12079,3,37.948634999999996,-122.32616399999999,CA,0
A-12931,3,37.543564,-122.02040900000001,CA,0
A-13069,3,37.825237,-122.30583200000001,CA,0
A-13742,2,37.255516,-121.955734,CA,0
A-14462,3,38.088394,-122.23207099999999,CA,0
A-14831,2,39.215897,-121.082924,CA,0
A-15082,2,37.502945000000004,-122.46421799999999,CA,0
A-15137,2,37.964745,-122.29715700000001,CA,0
A-15266,2,38.009205,-122.22388500000001,CA,0
A-15421,2,38.458763,-122.42278300000001,CA,0
A-15688,2,38.020939,-121.358856,CA,0
A-16125,3,38.427345,-121.482483,CA,0
A-16230,2,38.018745,-121.94201699999999,CA,0
A-16565,2,37.970546999999996,-121.337318,CA,0
A-16934,2,39.230984,-121.04763,CA,0
A-16936,2,36.670296,-121.63831299999998,CA,0
A-17104,2,38.67844,-121.225563,CA,0
A-17156,2,38.662715999999996,-120.937653,CA,0
A-17644,2,37.87149,-122.509331,CA,0
A-17655,2,38.515388,-122.43836200000001,CA,0
A-17874,3,38.563396000000004,-121.471695,CA,0
A-18296,3,38.473194,-121.82371499999999,CA,0
A-19330,3,37.315025,-121.90907299999999,CA,0
A-19347,2,37.93515,-122.516548,CA,0
A-19536,2,37.108521,-121.732216,CA,0
A-19574,2,37.37387800000001,-121.996094,CA,0
A-21306,2,37.638611,-121.88687900000001,CA,0
A-21611,2,38.937851,-121.100655,CA,0
A-22274,2,38.189457,-121.402992,CA,0
A-22332,3,37.70854600000001,-122.16366599999999,CA,0
A-23348,2,38.496132,-121.441521,CA,0
A-24221,2,39.308471999999995,-120.682953,CA,0
A-24374,2,37.892853,-122.16686999999999,CA,0
A-24649,3,38.088623,-122.231697,CA,0
A-25100,2,36.575356,-121.912872,CA,0
A-25124,2,37.470222,-122.15773,CA,0
A-25310,3,37.60099,-122.42543799999999,CA,0
A-25651,2,37.359665,-121.99598700000001,CA,0
A-25890,3,37.66637,-122.107491,CA,0
A-25898,2,39.162243,-122.91147600000001,CA,0
A-25921,2,37.976867999999996,-122.52071399999998,CA,0
A-26379,2,37.888233,-122.07099199999999,CA,0
A-26710,3,37.88406,-122.05333700000001,CA,0
A-27404,2,38.495975,-121.45914499999999,CA,0
A-28903,3,37.656653999999996,-121.90158799999999,CA,0
A-29479,3,37.334423,-122.069115,CA,0
A-29756,3,37.794616999999995,-122.20661899999999,CA,0
