ID,Severity,Start_Lat,Start_Lng,cluster
A-17,2,39.748329,-84.224007,1
A-80,2,39.077332,-84.225014,1
A-91,2,38.99408,-84.142021,1
A-106,2,39.75452,-84.159279,1
A-110,2,39.64185,-84.227455,1
A-123,2,39.749786,-84.199493,1
A-129,3,39.934517,-82.86065699999997,1
A-186,2,40.757088,-82.50975,1
A-202,3,40.09917100000001,-83.134499,1
A-230,2,41.172302,-83.64917,5
A-237,3,39.933803999999995,-82.78944399999997,1
A-256,2,41.423275,-81.76001,1
A-275,3,39.976397999999996,-83.119225,1
A-304,2,39.985336,-82.78984100000002,1
A-314,3,40.061661,-82.99807,1
A-320,2,39.76144,-84.167038,1
A-333,2,39.571163,-84.202606,1
A-334,2,39.17505300000001,-84.236313,1
A-348,3,39.972336,-82.983917,1
A-387,2,38.892097,-84.208702,1
A-396,2,39.812687,-84.22734799999998,1
A-496,2,40.089439,-83.036194,1
A-506,3,41.137856,-83.65884399999999,5
A-566,2,39.805809,-84.222435,1
A-586,3,39.696461,-83.456673,1
A-596,3,39.788647,-84.18390699999998,1
A-615,2,39.790283,-84.190063,1
A-645,3,41.404495000000004,-82.116928,1
A-648,2,39.769259999999996,-84.236465,1
A-668,2,39.794266,-84.215851,1
A-680,2,39.870964,-82.855354,1
A-684,2,39.9767,-83.045517,1
A-688,3,41.42202800000001,-81.877464,1
A-703,2,39.749626,-84.178291,1
A-705,2,39.820084,-84.16755699999999,1
A-710,3,39.982506,-82.98451999999997,1
A-713,2,39.59872100000001,-84.161491,1
A-719,2,39.772064,-84.253517,1
A-724,2,39.745384,-84.183006,1
A-738,3,37.700951,-121.80175,6
A-751,2,37.131519,-121.63330800000001,6
A-775,3,38.551689,-121.69951599999999,6
A-797,2,38.744423,-121.24709299999999,6
A-827,2,39.098984,-122.80431399999999,6
A-886,3,37.89658,-122.071281,6
A-905,3,38.631653,-121.397972,6
A-955,2,38.236176,-122.461472,6
A-963,3,37.38965200000001,-122.163582,6
A-1010,2,37.734898,-122.40866100000001,6
A-1016,3,37.932659,-122.325897,6
A-1024,3,37.783794,-122.178375,6
A-1033,2,37.480171,-122.40691399999999,6
A-1038,3,37.701363,-121.84953300000001,6
A-1060,2,38.553349,-121.43661499999999,6
A-1097,3,37.546719,-122.02275800000001,6
A-1101,3,38.38042100000001,-121.47766899999999,6
A-1102,3,38.639168,-121.38418600000001,6
A-1104,3,37.825396999999995,-122.304802,6
A-1113,2,38.55962,-121.26669299999999,6
A-1123,2,37.841545,-122.224525,6
A-1152,2,36.979209999999995,-121.979698,6
A-1162,3,37.99185900000001,-122.30792199999999,6
A-1164,3,38.577106,-121.50781200000002,6
A-1183,3,38.69938300000001,-121.31804699999999,6
A-1197,3,37.825649,-122.304092,6
A-1199,2,37.685875,-121.65972099999999,6
A-1200,2,39.209129,-121.068649,6
A-1209,3,38.022526,-122.262299,6
A-1250,3,37.778683,-122.400322,6
A-1271,2,38.643349,-121.114876,6
A-1283,2,37.409039,-122.194809,6
A-1292,3,37.702498999999996,-122.01693,6
A-1315,3,38.05258900000001,-122.227448,6
A-1337,2,38.019871,-121.93692800000001,6
